token,name,title,text
#,Intel,Спецслужби,"Це ваша кімната для брифінгів розвідки. Ми стежимо за низкою організацій. Деякі з них відносно нешкідливі, але можуть слугувати «шлюзами» до більш екстремістських, небезпечних угруповань, тому ми все одно мусимо стежити за їхніми членами. Наші шанси запобігти атакам на уряд залежатимуть від того, які заходи безпеки ви вживете."
,,,
#,Polling,Опитування,"Це дані опитування. Вони показують лінії для кожної групи виборців, що вказують, як їхня думка про уряд змінювалася з часом. Ви можете вмикати та вимикати кожну лінію за допомогою кольорових кнопок і переходити до кожної групи виборців, натискаючи на їхні назви, але повернемося до цього пізніше..."
#,Polling2,Опитування,"Давайте перевіримо фокус-групи, поки ми тут. Натисніть кнопку «Фокус-група»."
#,FocusGroup,Фокус-група,"Особи (вишикувані внизу) є членами випадкової фокус-групи. Клацніть на окремого виборця внизу, щоб переглянути інформацію про нього, або створіть нову фокус-групу за допомогою круглої синьої іконки."
#,FocusGroup2,Фокус-група,"Для кожної окремої особи ця діаграма показує, наскільки вона асоціюється з кожною групою виборців, до якої належить, думку, яку вона отримує від цієї асоціації, та як все це разом формує її остаточну думку про ваш уряд."
#,FocusGroup3,Фокус-група,"Давайте тепер подивимося на популярність ваших політик в опитуваннях. Натисніть кнопку «Політики»."
,,,
,,,
#,Cabinet,Офіс президента,"Тут показано, хто працює в кожному урядовому департаменті. Кожен міністр має різний рівень досвіду та лояльності, які з часом можуть змінюватися. Досвідчені міністри ефективніше виконують свої обов'язки. Вони можуть швидше та дешевше впроваджувати політику. Майте на увазі, що з часом лояльність ваших міністрів може змінюватися."
#,Cabinet2,Офіс президента,"Нелояльні міністри принесуть менше політичного капіталу, тому, можливо, вам доведеться розглянути можливість звільнення деяких з них або навіть повного переформатування кабінету міністрів. Також майте на увазі, що кожен міністр користується популярністю серед різних груп виборців, тому їх присутність у кабінеті міністрів може певною мірою задовольняти певних виборців... "
#,Cabinet3,Офіс президента,"Я залишу вам право вирішувати кар'єрні перспективи ваших колег. Не забувайте, що ви завжди можете переглянути потенційних кандидатів на заміну міністрів, перш ніж когось звільняти..."
,,,
#,Polls,Опитування,"Цей графік показує приблизний відсоток виборців, які заявляють, що проголосували б за вас, якби вибори відбулися прямо зараз. Ця інформація може бути неточною, оскільки явка навряд чи складе 100%. Виборці, які не мають чіткої думки з цього приводу, можуть не прийти на вибори, якщо голосування не є обов'язковим."
,,,
,,,
#,Electioneering,Виборча кампанія,"Це екран «передвиборчої кампанії», де ви можете вибирати між різними вкладками, щоб переглянути різні аспекти вашої партії та шанси кандидатів на переобрання! Деякі опції, такі як промови та маніфести, можуть бути недоступними до самого початку виборів, тому, ймовірно, найкраще до того часу зосередитися на управлінні країною."
#,Manifestos,Програмні заяви,"Обіцянки в маніфесті є необов'язковими, але якщо вам потрібний останній передвиборчий імпульс, то грандіозні заяви перед виборцями можуть бути гарною ідеєю. Майте на увазі, що якщо ви будете переобрані, то виборці покарають вас, якщо ви порушите ці обіцянки."
#,Speeches,Промови,"Промови можна виголошувати в період, що передує виборам. Позитивною новиною є те, що такі промови можуть зібрати підтримку груп виборців без необхідності висувати реальні пропозиції чи обіцянки. Поганою новиною є те, що кожна ваша фраза, ймовірно, засмутить деяких виборців, а інших порадує, тому вибирайте свої фрази з розумом."
#,Speech Results,Результати промови,"На цьому екрані відображаються результати вашої промови, що ілюструють її популярність серед широкої фокус-групи всіх виборців у міру переходу від одного фрагмента до іншого. Вищі значення, очевидно, кращі, але мало яка промова зможе сподобатися всім."
#,Fundraising,Збір коштів,"Збір коштів для вашої виборчої кампанії здійснюється частково за допомогою активістів, а частково за допомогою заможних донорів. Активісти приєднуються і залишають вас з часом, залежно від ваших дій. Великі донори працюють так само, але ви можете оцінити їх настрій і, можливо, запобігти втраті великих донорів, перш ніж вони занадто розлютяться."
#,Perceptions,Сприйняття,"Сприйняття виборцями вашого кандидата та партії може мати важливий вплив на «невизначених» виборців. В ідеальному світі ваша партія буде мати високі показники за всіма трьома основними критеріями сприйняття. На практиці ваша політика, ймовірно, заважає цьому, але ви можете компенсувати це за допомогою медіа-заходів. Не витрачайте медіа-заходи занадто далеко від виборів, оскільки їхній ефект з часом зникне."
,,,
#,Happiness ,Задоволення ,"Ця діаграма показує всіх членів цієї групи виборців та їхнє місце на шкалі від щастя (зелений колір) до гніву (червоний колір). Виборці належать до багатьох різних груп, тому на їхню думку впливає не тільки ця група. Натиснувши на окрему точку, ви побачите цього виборця на екрані фокус-групи."
